stock_id,公司簡稱,觸發路徑,說明
2330,台積電,路徑一:單分點高門檻,"凱基-站前 近2年新建倉1,770,605萬(門檻200,000萬)"
2303,聯電,路徑一:單分點高門檻,"凱基-站前 近2年新建倉1,021,242萬(門檻200,000萬)"
2454,聯發科,路徑一:單分點高門檻,"凱基-站前 近2年新建倉977,632萬(門檻200,000萬)"
2327,國巨*,路徑一:單分點高門檻,"凱基-站前 近2年新建倉911,586萬(門檻200,000萬)"
3037,欣興,路徑一:單分點高門檻,"凱基-站前 近2年新建倉824,528萬(門檻200,000萬)"
8046,南電,路徑一:單分點高門檻,"凱基-站前 近2年新建倉767,627萬(門檻200,000萬)"
3017,奇鋐,路徑一:單分點高門檻,"凱基-站前 近2年新建倉688,554萬(門檻200,000萬)"
3189,景碩,路徑一:單分點高門檻,"凱基-站前 近2年新建倉680,035萬(門檻200,000萬)"
2344,華邦電,路徑一:單分點高門檻,"凱基-站前 近2年新建倉633,864萬(門檻200,000萬)"
3231,緯創,路徑一:單分點高門檻,"凱基-站前 近2年新建倉591,980萬(門檻200,000萬)"
2408,南亞科,路徑一:單分點高門檻,"凱基-站前 近2年新建倉571,258萬(門檻200,000萬)"
6669,緯穎,路徑一:單分點高門檻,"凱基-站前 近2年新建倉554,404萬(門檻200,000萬)"
1303,南亞,路徑一:單分點高門檻,"凱基-站前 近2年新建倉540,515萬(門檻200,000萬)"
3443,創意,路徑一:單分點高門檻,"凱基-站前 近2年新建倉465,932萬(門檻200,000萬)"
3661,世芯-KY,路徑一:單分點高門檻,"凱基-站前 近2年新建倉461,510萬(門檻200,000萬)"
4979,華星光,路徑一:單分點高門檻,"凱基-站前 近2年新建倉420,444萬(門檻200,000萬)"
3008,大立光,路徑一:單分點高門檻,"凱基-站前 近2年新建倉411,862萬(門檻200,000萬)"
6515,穎崴,路徑一:單分點高門檻,"凱基-站前 近2年新建倉411,504萬(門檻200,000萬)"
3105,穩懋,路徑一:單分點高門檻,"凱基-站前 近2年新建倉408,662萬(門檻200,000萬)"
6223,旺矽,路徑一:單分點高門檻,"凱基-站前 近2年新建倉396,998萬(門檻200,000萬)"
2308,台達電,路徑一:單分點高門檻,"凱基-站前 近2年新建倉390,923萬(門檻200,000萬)"
2345,智邦,路徑一:單分點高門檻,"凱基-站前 近2年新建倉387,970萬(門檻200,000萬)"
2383,台光電,路徑一:單分點高門檻,"凱基-站前 近2年新建倉382,827萬(門檻200,000萬)"
3653,健策,路徑一:單分點高門檻,"凱基-站前 近2年新建倉372,480萬(門檻200,000萬)"
2368,金像電,路徑一:單分點高門檻,"凱基-站前 近2年新建倉360,002萬(門檻200,000萬)"
6274,台燿,路徑一:單分點高門檻,"凱基-站前 近2年新建倉359,762萬(門檻200,000萬)"
8299,群聯,路徑一:單分點高門檻,"凱基-站前 近2年新建倉354,913萬(門檻200,000萬)"
2449,京元電子,路徑一:單分點高門檻,"凱基-站前 近2年新建倉348,997萬(門檻200,000萬)"
8996,高力,路徑一:單分點高門檻,"凱基-站前 近2年新建倉336,881萬(門檻200,000萬)"
3374,精材,路徑一:單分點高門檻,"凱基-站前 近2年新建倉328,010萬(門檻200,000萬)"
3711,日月光投控,路徑一:單分點高門檻,"凱基-站前 近2年新建倉327,108萬(門檻200,000萬)"
3481,群創,路徑一:單分點高門檻,"凱基-站前 近2年新建倉315,437萬(門檻200,000萬)"
3529,力旺,路徑一:單分點高門檻,"凱基-站前 近2年新建倉304,614萬(門檻200,000萬)"
3665,貿聯-KY,路徑一:單分點高門檻,"凱基-站前 近2年新建倉295,972萬(門檻200,000萬)"
6770,力積電,路徑一:單分點高門檻,"凱基-站前 近2年新建倉276,960萬(門檻200,000萬)"
2059,川湖,路徑一:單分點高門檻,"凱基-站前 近2年新建倉261,304萬(門檻200,000萬)"
5289,宜鼎,路徑一:單分點高門檻,"凱基-站前 近2年新建倉246,181萬(門檻200,000萬)"
8358,金居,路徑一:單分點高門檻,"凱基-站前 近2年新建倉240,314萬(門檻200,000萬)"
4958,臻鼎-KY,路徑一:單分點高門檻,"凱基-站前 近2年新建倉236,532萬(門檻200,000萬)"
5274,信驊,路徑一:單分點高門檻,"凱基-站前 近2年新建倉234,802萬(門檻200,000萬)"
2409,友達,路徑一:單分點高門檻,"凱基-站前 近2年新建倉233,547萬(門檻200,000萬)"
2027,大成鋼,路徑一:單分點高門檻,"凱基-站前 近2年新建倉226,209萬(門檻200,000萬)"
3450,聯鈞,路徑一:單分點高門檻,"凱基-站前 近2年新建倉225,051萬(門檻200,000萬)"
3324,雙鴻,路徑一:單分點高門檻,"凱基-站前 近2年新建倉221,281萬(門檻200,000萬)"
3026,禾伸堂,路徑一:單分點高門檻,"凱基-站前 近2年新建倉217,418萬(門檻200,000萬)"
3081,聯亞,路徑一:單分點高門檻,"凱基-站前 近2年新建倉215,947萬(門檻200,000萬)"
2382,廣達,路徑一:單分點高門檻,"凱基-站前 近2年新建倉210,307萬(門檻200,000萬)"
6488,環球晶,路徑一:單分點高門檻,"凱基-站前 近2年新建倉207,442萬(門檻200,000萬)"
2317,鴻海,路徑一:單分點高門檻,"凱基-站前 近2年新建倉205,178萬(門檻200,000萬)"
6805,富世達,路徑一:單分點高門檻,"凱基-站前 近2年新建倉204,284萬(門檻200,000萬)"
2360,致茂,路徑一:單分點高門檻,"凱基-站前 近2年新建倉201,476萬(門檻200,000萬)"
3443,創意,路徑二:3+分點共振,"3個分點近10日同時買超: 凱基-信義,凱基-站前,新加坡商瑞銀"
2330,台積電,路徑二:3+分點共振,"3個分點近10日同時買超: 凱基-站前,新加坡商瑞銀,港商野村"
2409,友達,路徑二:3+分點共振,"3個分點近10日同時買超: 凱基-站前,新加坡商瑞銀,港商野村"
2454,聯發科,路徑二:3+分點共振,"3個分點近10日同時買超: 凱基-站前,新加坡商瑞銀,港商野村"
8299,群聯,路徑二:3+分點共振,"3個分點近10日同時買超: 凱基-士林,新加坡商瑞銀,港商野村"
